arc_dist,agent,landmark_id,quality,xa,ya,xl,yl
708.3029841865605,1,1,0.0016028769927439975,634.9244526072802,-165.2823210335106,750.0,-150.0
735.9796056016337,1,1,0.9807462488678815,659.8880985808622,-153.33193389923966,750.0,-150.0
763.6067242421843,1,1,0.9999983464678596,684.0460384845164,-139.9285155296412,750.0,-150.0
790.9196712652806,1,1,0.9999999982935242,707.0899823055734,-125.26653311734653,750.0,-150.0
817.4325831836256,1,1,0.999999999678826,728.7280736982814,-109.94571397244644,750.0,-150.0
842.5566504161359,1,1,0.9999999824896216,748.6725647336178,-94.66710043439654,750.0,-150.0
865.6640377696331,1,1,0.9999872684981319,766.6357074825607,-80.13173484265239,750.0,-150.0
886.1012427953559,1,1,0.9876962911448947,782.3297540160879,-67.04065953666955,750.0,-150.0
903.5367914682707,1,1,0.13405891203739773,795.6866957307548,-55.833944337442986,750.0,-150.0
918.9801215746028,1,1,0.0005151688925468131,807.5174813254281,-45.90776899212443,750.0,-150.0
933.7766640270228,1,1,1.973482826849062e-6,818.8527988245518,-36.397340729405194,750.0,-150.0
