obstacle_id,vertex_index,x,y,s11,s12,s21,s22
1,1,200.0,146.6,0.0,0.0,0.0,0.0
1,2,350.0,146.6,0.0,0.0,0.0,0.0
1,3,350.0,300.0,0.0,0.0,0.0,0.0
1,4,275.0,330.0,0.0,0.0,0.0,0.0
1,5,200.0,300.0,0.0,0.0,0.0,0.0
2,1,185.0,0.0,0.0,0.0,0.0,0.0
2,2,215.0,-26.6,0.0,0.0,0.0,0.0
2,3,335.0,-26.6,0.0,0.0,0.0,0.0
2,4,365.0,0.0,0.0,0.0,0.0,0.0
2,5,335.0,26.6,0.0,0.0,0.0,0.0
2,6,215.0,26.6,0.0,0.0,0.0,0.0
3,1,200.0,-300.0,0.0,0.0,0.0,0.0
3,2,275.0,-330.0,0.0,0.0,0.0,0.0
3,3,350.0,-300.0,0.0,0.0,0.0,0.0
3,4,350.0,-146.6,0.0,0.0,0.0,0.0
3,5,200.0,-146.6,0.0,0.0,0.0,0.0
4,1,800.0,146.6,0.0,0.0,0.0,0.0
4,2,950.0,146.6,0.0,0.0,0.0,0.0
4,3,915.0,330.0,0.0,0.0,0.0,0.0
4,4,835.0,330.0,0.0,0.0,0.0,0.0
5,1,800.0,-113.2,0.0,0.0,0.0,0.0
5,2,950.0,-113.2,0.0,0.0,0.0,0.0
5,3,975.0,-43.3,0.0,0.0,0.0,0.0
5,4,950.0,26.6,0.0,0.0,0.0,0.0
5,5,800.0,26.6,0.0,0.0,0.0,0.0
5,6,775.0,-43.3,0.0,0.0,0.0,0.0
6,1,800.0,-330.0,0.0,0.0,0.0,0.0
6,2,950.0,-330.0,0.0,0.0,0.0,0.0
6,3,925.0,-233.2,0.0,0.0,0.0,0.0
6,4,825.0,-233.2,0.0,0.0,0.0,0.0
7,1,1225.0,233.2,0.0,0.0,0.0,0.0
7,2,1325.0,233.2,0.0,0.0,0.0,0.0
7,3,1350.0,330.0,0.0,0.0,0.0,0.0
7,4,1200.0,330.0,0.0,0.0,0.0,0.0
8,1,1200.0,113.2,0.0,0.0,0.0,0.0
8,2,1350.0,113.2,0.0,0.0,0.0,0.0
8,3,1380.0,-43.3,0.0,0.0,0.0,0.0
8,4,1350.0,-199.8,0.0,0.0,0.0,0.0
8,5,1200.0,-199.8,0.0,0.0,0.0,0.0
8,6,1170.0,-43.3,0.0,0.0,0.0,0.0
9,1,360.0,0.0,0.0,0.0,0.0,0.0
9,2,390.0,-26.6,0.0,0.0,0.0,0.0
9,3,710.0,-26.6,0.0,0.0,0.0,0.0
9,4,740.0,0.0,0.0,0.0,0.0,0.0
9,5,710.0,26.6,0.0,0.0,0.0,0.0
9,6,390.0,26.6,0.0,0.0,0.0,0.0
10,1,425.0,-330.0,0.0,0.0,0.0,0.0
10,2,775.0,-330.0,0.0,0.0,0.0,0.0
10,3,775.0,-300.0,0.0,0.0,0.0,0.0
10,4,740.0,-233.2,0.0,0.0,0.0,0.0
10,5,460.0,-233.2,0.0,0.0,0.0,0.0
10,6,425.0,-300.0,0.0,0.0,0.0,0.0
11,1,960.0,0.0,0.0,0.0,0.0,0.0
11,2,990.0,-26.6,0.0,0.0,0.0,0.0
11,3,1110.0,-26.6,0.0,0.0,0.0,0.0
11,4,1140.0,0.0,0.0,0.0,0.0,0.0
11,5,1110.0,26.6,0.0,0.0,0.0,0.0
11,6,990.0,26.6,0.0,0.0,0.0,0.0
12,1,1000.0,233.2,0.0,0.0,0.0,0.0
12,2,1200.0,233.2,0.0,0.0,0.0,0.0
12,3,1200.0,300.0,0.0,0.0,0.0,0.0
12,4,1150.0,330.0,0.0,0.0,0.0,0.0
12,5,1050.0,330.0,0.0,0.0,0.0,0.0
12,6,1000.0,300.0,0.0,0.0,0.0,0.0
13,1,1400.0,233.2,0.0,0.0,0.0,0.0
13,2,1700.0,233.2,0.0,0.0,0.0,0.0
13,3,1680.0,330.0,0.0,0.0,0.0,0.0
13,4,1420.0,330.0,0.0,0.0,0.0,0.0
