s005	start	0.0,0.0
s005	goal	800.0,0.0
s005	landmarks	368.02906797556875,303.9298260186261 @ 1.7995900801989102,0.1734986080201657,0.1734986080201657,0.37220870283213603 | 586.4142187892976,-363.88870705385284 @ 1.7809347545972822,-0.2141661969626086,-0.2141661969626086,0.5627192936577792 | 622.4786137155415,330.12526173593363 @ 1.4810647026917014,-0.00932141326048876,-0.00932141326048876,0.7310315317229528
s005	obstacles	126.03776799897744,-100.92704164584089; 250.5542467900244,-63.281618597265535; 271.1689214671156,1.795988859925167 | 537.9801277211158,3.577191235078064; 591.4269151931597,-34.632558412265894; 670.4857559957658,-18.376255099016163; 661.3020043427216,66.44626404616683; 573.3441678500119,59.005194528157475 | 594.7090222303834,198.17352654030182; 572.2907164408,204.7355702559435; 524.6910196963963,177.46231770382687; 520.0157374795401,163.8784911846953; 545.2178158469932,145.52945082860123; 585.469308448528,162.5445705507593
s012	start	0.0,0.0
s012	goal	800.0,0.0
s012	landmarks	197.8475941719219,263.5288613595589 @ 1.4857497747191017,-0.2004923454786663,-0.2004923454786663,0.6099745154954821 | 493.2206144618732,-330.8717663830829 @ 1.1765835542825538,-0.2898377195848948,-0.2898377195848948,0.5658476692930533 | 504.895288811052,359.8059783712035 @ 1.5248685785174452,-0.22909429923385935,-0.22909429923385935,0.5100675653953872 | 585.3402116858188,-377.44206576311655 @ 1.7925085371857286,0.20819071469109124,0.20819071469109124,0.8608885003199838
s012	obstacles	184.0965689527014,-40.37043986728246; 122.62647160850815,-128.04075516686456; 121.4845355632315,-202.23034928239906; 165.2304021729609,-212.9286841637411; 198.08168601166983,-91.63920425693505 | 325.203475703187,91.73094398500582; 429.5882859497751,104.2816191479325; 366.13166922445174,164.79602882701334 | 162.78705729458235,27.793949248854194; 171.6066854263105,-12.236886918850441; 191.0804206066444,-20.430320372622056; 214.5670503600063,14.410262992197717; 193.3623712920354,33.5868480317371 | 260.53466743173414,-187.9788205924901; 321.479295187211,-142.05605141994172; 334.70454318932826,-47.57992563454942 | 647.9972800354457,23.720858928544672; 684.7147599669325,21.358992355782775; 706.1617531970049,86.08897501163706; 633.6092339768106,65.71239283527824
s029	start	0.0,0.0
s029	goal	800.0,0.0
s029	landmarks	116.41175645741058,279.76530209611553 @ 1.1231554406891577,-0.22652899074488514,-0.22652899074488514,0.7834389388210666 | 329.8561761085951,-343.1945176984639 @ 1.3820517566989892,0.40902864960090557,0.40902864960090557,0.6038395782143631 | 547.5108291778772,239.38549909359918 @ 1.812128931883105,0.030422725056175815,0.030422725056175815,0.5870722465418157 | 657.1661406616291,-243.6846645603136 @ 0.9384748513008161,0.18809913021908276,0.18809913021908276,0.6140654446568066
s029	obstacles	518.8504441173018,-166.44808496579807; 532.8280862030801,-133.93822568643463; 482.16521315178704,-86.64270874609306; 461.7217263842211,-148.8724800598596 | 607.247396813303,22.642792712061237; 536.8435292388598,30.011210411174183; 486.40496432771573,-44.21379233259893 | 358.56377329455637,-160.1799486397581; 401.02507059074276,-85.90121041484544; 394.89132443928077,12.604617541380719; 341.5881093219078,-13.026538311862753; 329.24367474319206,-76.0167568583031 | 326.1793400448625,63.1418391920739; 369.23877935546324,94.33277550589149; 404.77887359643654,212.35646936498193; 371.9576988875322,271.5447342009521; 298.3496074665261,213.14602229297012; 282.6859994655855,101.25700633970064
s030	start	0.0,0.0
s030	goal	700.0,0.0
s030	landmarks	197.91511620190062,-296.89982151812205 @ 1.3512472618177727,0.279488589280024,0.279488589280024,0.49235449549956295 | 221.74657744093355,239.86967405749107 @ 0.6849788420428203,0.08301950732237487,0.08301950732237487,0.6914456115363425 | 334.7885684056897,-249.265857340346 @ 0.7481198029942545,0.011512039920283546,0.011512039920283546,0.49036140255219957
s030	obstacles	293.231506424681,-71.3394786707655; 244.6570900066933,-100.81315699774639; 246.00934883027787,-132.4177543880776; 292.84859412360896,-155.73440493563191; 345.98747571374,-139.1432002099304; 335.9311500766174,-77.57792856809091 | 381.2084489066991,-19.872336197228645; 396.3250518296273,4.19509180424736; 379.3959480621834,74.80724791019756; 340.10110575781295,108.53540713078088; 325.53826009985374,50.76519051005961; 336.3540654776399,20.21528638626793 | 434.1205822617604,-196.04918248197703; 471.5489107963878,-218.89966325758314; 496.4445463104065,-203.67496843515656; 475.5971414547545,-160.34155634302738; 448.3753440769186,-147.8164240203633; 423.3826190580341,-163.41332614186274 | 552.4082096549132,65.06882345400214; 454.7980380007691,183.3014118023939; 446.67188841227414,160.23362851819815 | 273.4689482132942,-58.65008633962025; 307.44458827452735,-30.92900020402138; 300.82359772699436,14.845081697465668; 275.33725316460044,31.052759385241753; 229.3060877689581,13.014007760465265; 234.29331080429745,-45.73641617778912
